case,rate_hz,section,cutoff_hz,probe_hz,quantum_frames,rbj_magnitude_db,cast_state_magnitude_db,impulse_dft_magnitude_db,sustained_fundamental_db,sustained_residual_db,sustained_total_db,tail_energy,recovery_count
response-high_pass-44100-128-2-1,44100,high_pass,100.00000000000000000,100.00000000000000000,128,-3.01029995663949901,-3.01029960082014725,-3.01029654511047351,-3.01030117808458098,-137.25950958475297625,-3.01030119140655028,0.00000000000000000,0
response-high_pass-44100-255-2-1,44100,high_pass,100.00000000000000000,100.00000000000000000,255,-3.01029995663949901,-3.01029960082014725,-3.01029654511047351,-3.01030117808458098,-137.25950958475297625,-3.01030119140655028,0.00000000000000000,0
response-high_pass-44100-1024-2-1,44100,high_pass,100.00000000000000000,100.00000000000000000,1024,-3.01029995663949901,-3.01029960082014725,-3.01029654511047351,-3.01030117808458098,-137.25950958475297625,-3.01030119140655028,0.00000000000000000,0
response-high_pass-44100-1-2-2,44100,high_pass,100.00000000000000000,400.00000000000000000,1,-0.01691443384661888,-0.01691436604129239,-0.01691405328227257,-0.01691448972842848,-146.44008555123417636,-0.01691450305044577,0.00000000000000000,0
response-high_pass-44100-127-2-2,44100,high_pass,100.00000000000000000,400.00000000000000000,127,-0.01691443384661888,-0.01691436604129239,-0.01691405328227257,-0.01691448972842848,-146.44008555123417636,-0.01691450305044577,0.00000000000000000,0
response-high_pass-44100-128-2-2,44100,high_pass,100.00000000000000000,400.00000000000000000,128,-0.01691443384661888,-0.01691436604129239,-0.01691405328227257,-0.01691448972842848,-146.44008555123417636,-0.01691450305044577,0.00000000000000000,0
response-high_pass-44100-255-2-2,44100,high_pass,100.00000000000000000,400.00000000000000000,255,-0.01691443384661888,-0.01691436604129239,-0.01691405328227257,-0.01691448972842848,-146.44008555123417636,-0.01691450305044577,0.00000000000000000,0
response-high_pass-44100-1024-2-2,44100,high_pass,100.00000000000000000,400.00000000000000000,1024,-0.01691443384661888,-0.01691436604129239,-0.01691405328227257,-0.01691448972842848,-146.44008555123417636,-0.01691450305044577,0.00000000000000000,0
response-high_pass-44100-1-2-3,44100,high_pass,100.00000000000000000,8820.00000000000000000,1,-0.00000004014344625,-0.00000004003626510,-0.00000025870574183,0.00000020853388734,-155.46693538907223342,0.00000008571415579,0.00000000000000000,0
response-high_pass-44100-127-2-3,44100,high_pass,100.00000000000000000,8820.00000000000000000,127,-0.00000004014344625,-0.00000004003626510,-0.00000025870574183,0.00000020853388734,-155.46693538907223342,0.00000008571415579,0.00000000000000000,0
